ID,Full Name,Name,Prefix,Suffix,Species,Sex,Birth Date,Sire ID,Dam ID,Genetic Code,Color,Eye Color,Owner CTU ID,Owned
CTC695,M3,M3,,,Fancy Mouse,Male,2026-01-20,CTC656,CTC657,,,,,Yes
CTC696,F2,F2,,,Fancy Mouse,Female,2026-01-20,CTC656,CTC657,,,,,Yes
CTC697,F1,F1,,,Fancy Mouse,Female,2026-01-20,CTC656,CTC657,,,,,Yes
CTC712,SLM's Goosebumps,Goosebumps,SLM's,,Fancy Mouse,Male,2025-11-24,CTC698,CTC699,,Black,,,Yes
CTC723,SLM's Doblo,Doblo,SLM's,,Fancy Mouse,Male,2026-01-04,CTC601,CTC707,,"Black and tan, Satin",,,Yes
CTC725,SLM's Rintin,Rintin,SLM's,,Fancy Mouse,Male,2026-01-04,CTC601,CTC707,,"Dove, Satin",,,Yes
CTC730,SLM's Prosecco,Prosecco,SLM's,,Fancy Mouse,Male,2026-01-04,CTC601,CTC707,,Champagne,,,Yes
CTC731,SLM's Veneto,Veneto,SLM's,,Fancy Mouse,Male,2026-01-04,CTC601,CTC707,,"Champagne, Tricolor, Splash",,,Yes
CTC740,TnS Ran,Ran,TnS,,Fancy Mouse,Female,2022-03-07,CTC377,CTC747,,Cinnamon Tan Pied,,,Yes
CTC746,TnS Risu,Risu,TnS,,Fancy Mouse,Female,2021-12-29,CTC377,CTC952,,Dominant Red Pied,,,Yes
CTC747,TnS Riku,Riku,TnS,,Fancy Mouse,Female,2021-07-13,CTC369,CTC748,,Cinnamon Burmese,,,Yes
CTC754,TnS Kakei,Kakei,TnS,,Fancy Mouse,Female,2022-01-27,CTC40,CTC755,,Brindle Splashed Fox,,,Yes
CTC760,TnS Chikara,Chikara,TnS,,Fancy Mouse,Male,2022-06-03,CTC769,CTC770,,Dove,,,Yes
CTC767,TnS Ryoko,Ryoko,TnS,,Fancy Mouse,Female,2022-09-17,CTC785,CTC382,,Lilac,,,Yes
CTC770,TnS Moka,Moka,TnS,,Fancy Mouse,Female,2021-11-03,CTC379,CTC899,,Stone,,,Yes
CTC772,TnS Junzen,Junzen,TnS,,Fancy Mouse,Male,2021-08-07,CTC172,CTC367,,Silver Tan,,,Yes
CTC773,TnS Ninko,Ninko,TnS,,Fancy Mouse,Female,2021-10-21,CTC375,CTC774,,Chocolate Brindle Pied,,,Yes
CTC778,TnS Kujaku,Kujaku,TnS,,Fancy Mouse,Male,2021-11-08,CTC377,CTC780,,Agouti Variegated,,,Yes
CTC781,KW Satoshi,Satoshi,KW,,Fancy Mouse,Male,2021-04-02,CTC783,CTC250,,Splashed Fox,,,No
CTC785,TnS Takiyo,Takiyo,TnS,,Fancy Mouse,Male,2022-04-04,CTC379,CTC786,,Cream,,,Yes
CTC786,TnS Hakuko,Hakuko,TnS,,Fancy Mouse,Female,2021-08-05,CTC377,CTC364,,Black Eye White,,,Yes
CTC810,MD Camille,Camille,MD,,Fancy Mouse,Female,2025-11-14,CTC672,CTC814,,,,,Yes
CTC811,MD Sylvie,Sylvie,MD,,Fancy Mouse,Female,2025-11-14,CTC672,CTC814,,,,,Yes
CTC812,MD Emily,Emily,MD,,Fancy Mouse,Female,2025-11-16,CTC672,CTC815,,,,,Yes
CTC813,MD Mindy,Mindy,MD,,Fancy Mouse,Female,2025-11-16,CTC672,CTC815,,,,,Yes
CTC959,KW Kieran,Kieran,KW,,Fancy Mouse,Male,2020-11-02,CTC961,CTC362,,Black,,,No
CTC970,TnS Koi,Koi,TnS,,Fancy Mouse,Female,2022-01-11,CTC379,CTC971,,Blue Sable,,,Yes
CTC983,TnS Motoo,Motoo,TnS,,Fancy Mouse,Male,2021-09-19,CTC379,CTC972,,Red Burmese,,,Yes
CTC985,TnS Itako,Itako,TnS,,Fancy Mouse,Female,2022-01-08,CTC379,CTC986,,Snowtiger,,,Yes
CTC1062,DM Helga,Helga,DM,,Fancy Mouse,Female,2025-10-05,CTC517,CTC510,,Blue,,,Yes
CTC1064,DM Fuzzby,Fuzzby,DM,,Fancy Mouse,Female,2025-10-05,CTC517,CTC510,,Blue,,,Yes
CTC1065,DM Kitty,Kitty,DM,,Fancy Mouse,Female,2025-10-05,CTC517,CTC510,,Blue,,,Yes
CTC1096,DM Eva,Eva,DM,,Fancy Mouse,Female,2025-12-07,CTC521,CTC516,,Siamese,,,Yes
CTC1189,SLM's Ice Queen,Ice Queen,SLM's,,Fancy Mouse,Female,2026-02-01,CTC601,CTC707,,Silver tan,,,Yes
CTC1858,SLM's Iolite,Iolite,SLM's,,Fancy Mouse,Female,2026-02-01,CTC601,CTC707,,Lilac,,,Yes
CTC2060,Michel,Michel,,,Fancy Mouse,Male,2025-12-07,CTC521,CTC516,,,,,Yes
CTC152,MLP Hiro,Hiro,MLP,,Fancy Mouse,Male,2024-07-01,CTC154,CTC156,,Lilac Pied,,,Yes
CTC153,MLP Cara,Cara,MLP,,Fancy Mouse,Female,2024-12-10,CTC154,CTC155,,Black Pied,,,Yes
CTC163,LB Chibi,Chibi,LB,,Fancy Mouse,Male,2021-11-04,,,,Blue Tan,,,No
CTC164,LB Quicksilver,Quicksilver,LB,,Fancy Mouse,Female,2021-06-10,,,,,,,No
CTC177,PvK Lovegood,Lovegood,PvK,,Fancy Mouse,Female,2019-12-07,,,,Colorpoint Beige Pied,,,No
CTC179,MLP Ella,Ella,MLP,,Fancy Mouse,Female,2024-06-08,CTC154,CTC180,,Black Pied,,,Yes
CTC181,MLP Eric,Eric,MLP,,Fancy Mouse,Male,2024-06-08,CTC154,CTC180,,Chocolate Pied,,,Yes
CTC183,MLP Nina,Nina,MLP,,Fancy Mouse,Female,2024-12-13,CTC154,CTC182,,Blue Pied,,,Yes
CTC194,M3 Mex,Mex,M3,,Fancy Mouse,Male,2023-01-15,,,,Black Hereford,,,No
CTC196,CoCM Gifted Spirit,Gifted Spirit,CoCM,,Fancy Mouse,Male,2022-06-08,,,,Black Merle,,,No
CTC199,PvK Mr. Midnight,Mr. Midnight,PvK,,Fancy Mouse,Male,2023-09-18,,,,Black,,,No
CTC209,JW Casanova,Casanova,JW,,Fancy Mouse,Male,2020-01-01,,,,Tricolor,,,No
CTC210,TOM Cherise,Cherise,TOM,,Fancy Mouse,Female,2019-10-22,,,,Tricolor,,,No
CTC218,CM Bellatrix,Bellatrix,CM,,Fancy Mouse,Female,2020-01-01,,,,Black Pied,,,No
CTC219,DM Domino,Domino,DM,,Fancy Mouse,Female,2021-01-05,,,,Black Pied,,,No
